countries,electricity_consumption,yearly_kwh_per_capita
China,5563928540,3963
United States of America,3902306027,11855
India,1136513420,846
Japan,943682520,7421
Russia,909571060,6239
Germany,536507840,6483
Canada,522151710,14363
Brazil,509078980,2505
South Korea,507555100,9894
France,450832740,6927
United Kingdom,309186080,4692
Saudi Arabia,296184520,9642
Italy,293469080,4852
Mexico,258666440,2116
Spain,239536360,5126
Taiwan,237403060,10065
Iran,236307500,2819
Turkey,231146440,2831
Australia,229440100,9430
Indonesia,213400340,806
South Africa,207120980,3617
Thailand,187734000,2649
Egypt,159745540,1572
Poland,149422040,3905
Vietnam,143151980,1523
Malaysia,136859740,4305
Sweden,133527680,13456
Ukraine,133173460,2919
Norway,122159440,23331
Argentina,121000280,2756
United Arab Emirates,113177600,12532
Netherlands,108772560,6322
Kazakhstan,94229480,5131
Pakistan,92325500,419
Finland,82788180,15065
Belgium,82164110,7250
Philippines,78300920,734
Chile,73215660,4008
Venezuela,71958360,2339
Colombia,68252740,1439
Austria,64604100,7394
Czech Republic (Czechia),62339420,5919
Switzerland,58464580,6981
Kuwait,57784480,14432
Greece,56886040,5279
Algeria,55959220,1370
Israel,55004920,6700
Bangladesh,53647540,334
Romania,49642600,2510
Uzbekistan,49072660,1569
Singapore,47687660,8549
Portugal,46935280,4536
Peru,44612920,1445
Hong Kong,41842760,5648
New Zealand,39496640,8377
Hungary,39370000,4013
Iraq,38460460,1000
Qatar,37244580,14328
Denmark,33017760,5764
Bulgaria,32340350,4537
Belarus,31721300,3339
Serbia,29810300,4183
Oman,28915400,6585
Morocco,28250440,807
Libya,27296680,4116
Slovakia,26635280,4908
Bahrain,26105400,18261
Ireland,25678540,5402
Nigeria,24716340,126
Ecuador,22684920,1374
Azerbaijan,20235280,2051
Puerto Rico,19484430,5605
Iceland,17682820,52694
Jordan,16818820,1681
Cuba,16162120,1435
Croatia,15933940,3852
Lebanon,15706520,2484
Dominican Republic,15642860,1483
Tunisia,15270880,1325
Turkmenistan,15089960,2373
Myanmar,14934620,290
Syria,14163020,738
North Korea,13889440,540
Slovenia,13404540,6503
Tajikistan,12959000,1462
Sri Lanka,12667620,578
Georgia,12372840,3263
Sudan,12124320,294
Bosnia and Herzegovina,11870880,3418
Mozambique,11567620,423
Zambia,11037800,653
Paraguay,10896940,1744
Uruguay,10770420,3187
Kyrgyzstan,10517920,1722
Lithuania,10498580,3659
Guatemala,10095640,621
Trinidad and Tobago,9867280,6866
Costa Rica,9812420,2016
Ghana,9362900,319
Ethiopia,9061860,85
Angola,9036240,310
Estonia,8795020,6684
Panama,8707960,2161
Kenya,7862800,163
Bolivia,7785060,696
Dem. Rep. Congo,7430160,89
Honduras,7219920,767
Zimbabwe,7118180,488
Latvia,6797960,3469
State of Palestine,6489490,1401
Luxembourg,6474520,11096
North Macedonia,6420220,3274
Cameroon,6410820,273
Côte d'Ivoire,6244940,240
Mongolia,5932180,1951
El Salvador,5927700,956
Cambodia,5857300,369
Tanzania,5681840,106
Afghanistan,5526230,159
Laos,5471000,792
Armenia,5291140,1813
Albania,5110000,1763
Macao,5077000,8004
Nepal,4983000,178
Moldova,4400140,1359
Cyprus,4355220,3520
Namibia,3891380,1595
Brunei,3770860,8819
Yemen,3681220,115
Botswana,3635840,1627
Nicaragua,3590300,576
Senegal,3497140,233
Papua New Guinea,3237330,361
Uganda,3105590,80
Mali,2981680,155
Jamaica,2847300,1013
Montenegro,2808120,4498
New Caledonia,2738850,9663
Mauritius,2726320,2110
Réunion,2551920,2958
Bhutan,2183700,2920
Malta,2122020,4661
Gabon,2070800,986
Suriname,1749740,2977
Bahamas,1653540,4261
Guam,1601460,9751
Madagascar,1586580,61
Burkina Faso,1550700,80
Martinique,1535430,4052
Guadeloupe,1485210,3671
Eswatini,1431330,1245
Malawi,1320600,75
Togo,1260620,160
Benin,1143000,98
Niger,1064740,51
Mauritania,1059270,259
Barbados,990000,3541
Congo,911960,175
Aruba,873270,8319
Fiji,850020,925
Lesotho,847300,398
French Guiana,840720,3099
Guyana,790100,1035
U.S. Virgin Islands,654720,6695
French Polynesia,629889,2256
Cayman Islands,612000,9699
Bermuda,604500,9527
Guinea,556140,46
Rwanda,527250,44
Greenland,468000,8348
Equatorial Guinea,465000,308
Belize,453000,1242
Haiti,406220,38
South Sudan,391780,36
Burundi,382720,34
Djibouti,377115,363
Maldives,373860,843
Cabo Verde,367350,717
Eritrea,353860,113
Saint Lucia,343170,1954
Seychelles,325500,2964
Somalia,315270,22
Antigua and Barbuda,307830,3422
Faeroe Islands,285510,5765
Gambia,282813,124
Liberia,279000,59
Sierra Leone,279000,39
Gibraltar,230760,6856
Turks and Caicos,218550,5704
Chad,208599,14
Saint Kitts & Nevis,193440,4109
Grenada,185100,1608
Central African Republic,159402,34
American Samoa,157170,3008
St. Vincent & Grenadines,146010,1373
Samoa,122760,603
British Virgin Islands,117459,3467
Dominica,103602,1488
Solomon Islands,95790,145
Sao Tome & Principe,61380,301
Vanuatu,58590,215
Tonga,48360,458
Saint Pierre & Miquelon,42780,7214
Comoros,39060,53
Guinea-Bissau,36270,20
Cook Islands,31620,1824
Kiribati,26970,228
Montserrat,22320,4812
Nauru,22320,2002
Falkland Islands,17670,5081
Saint Helena,6510,1180
Niue,2790,1566
